Rk,Player,Year,Rd,Overall,From,To,G,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,3P%,FT%,MPG,PPG,RPG,APG
86,Kiki Vandeweghe,1980,1,11,1981,1993,810,24521,6139,11699,218,592,3484,3997,893,2785,1668,468,243,1310,1560,15980,.525,.368,.872,30.3,19.7,3.4,2.1
87,Brett Vroman,1978,4,87,1981,1981,11,93,10,27,0,1,14,19,7,25,9,5,5,9,26,34,.370,.000,.737,8.5,3.1,2.3,0.8
88,Bill Walton,1974,1,1,1975,1987,468,13250,2552,4900,0,4,1111,1683,1103,4923,1590,380,1034,865,1298,6215,.521,,.660,28.3,13.3,10.5,3.4
89,Richard Washington,1976,1,3,1977,1982,351,7874,1472,3249,1,4,511,719,685,2204,409,224,277,433,1179,3456,.453,,.711,22.4,9.8,6.3,1.2
90,Earl Watson,2001,2,40,2002,2014,878,19494,2112,5139,502,1551,867,1233,462,1985,3871,873,176,1548,1755,5593,.411,.324,.703,22.2,6.4,2.3,4.4
91,Peyton Watson,2022,1,30,2023,2023,18,79,15,29,5,8,0,2,3,17,3,0,3,4,5,35,.517,.625,.000,4.4,1.9,0.9,0.2
92,David Wear,,,,2015,2015,2,7,0,2,0,1,0,0,2,2,1,0,0,0,1,0,.000,.000,,3.5,0.0,1.0,0.5
93,Travis Wear,,,,2015,2018,68,900,109,281,28,77,28,34,31,144,47,19,16,41,85,274,.388,.364,.824,13.2,4.0,2.1,0.7
94,Thomas Welsh,2018,2,58,2019,2019,11,36,7,13,3,7,1,2,0,4,5,0,0,1,3,18,.538,.429,.500,3.3,1.6,0.4,0.5
95,Russell Westbrook,2008,1,4,2009,2023,1090,37427,8722,19933,1222,4015,5708,7336,1769,7945,9133,1772,344,4434,2842,24374,.438,.304,.778,34.3,22.4,7.3,8.4
96,Sidney Wicks,1971,1,2,1972,1981,760,25762,5046,11002,0,2,2711,3955,1539,6620,2437,592,431,667,2524,12803,.459,,.685,33.9,16.8,8.7,3.2
97,Jamaal Wilkes,1974,1,11,1975,1986,828,27275,6226,12471,7,52,2185,2878,1627,5117,2050,1049,262,1211,2296,14644,.499,,.759,32.9,17.7,6.2,2.5
98,James Wilkes,1980,3,50,1981,1983,114,1531,224,484,0,3,99,137,107,274,104,58,31,101,220,547,.463,.000,.723,13.4,4.8,2.4,0.9
99,Trevor Wilson,1990,2,36,1991,1996,103,1609,236,518,0,4,119,210,153,353,99,50,14,117,157,591,.456,.000,.567,15.6,5.7,3.4,1.0
100,Brad Wright,1985,3,49,1987,1988,16,145,21,51,0,1,12,28,25,54,1,3,6,15,23,54,.412,.000,.429,9.1,3.4,3.4,0.1
101,George Zídek,1995,1,22,1996,1998,135,1328,161,395,1,4,130,166,108,286,32,14,12,69,241,453,.408,.250,.783,9.8,3.4,2.1,0.2
